2020-05-19 21:19:38 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:20:38 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:21:48 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:22:58 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:24:08 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:25:08 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:26:18 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:27:18 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:27:21 UTC | TRACE | INFO | (main.go:23 in handleSignal) | received signal 15 (terminated)
2020-05-19 21:27:21 UTC | TRACE | INFO | (pkg/trace/agent/agent.go:129 in loop) | Exiting...
2020-05-19 21:27:21 UTC | TRACE | INFO | (pkg/trace/stats/concentrator.go:108 in Run) | Exiting concentrator, computing remaining stats
2020-05-19 21:27:21 UTC | TRACE | INFO | (pkg/util/log/log.go:482 in func1) | Loaded configuration: /etc/datadog-agent/datadog.yaml
2020-05-19 21:27:21 UTC | TRACE | INFO | (pkg/trace/agent/run.go:99 in Run) | PID '3445' written to PID file '/opt/datadog-agent/run/trace-agent.pid'
2020-05-19 21:27:21 UTC | TRACE | INFO | (pkg/trace/agent/run.go:118 in Run) | Trace agent running on host ubuntu-xenial
2020-05-19 21:27:21 UTC | TRACE | INFO | (pkg/trace/api/api.go:152 in Start) | Listening for traces at http://localhost:8126
2020-05-19 21:27:31 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:28:31 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:29:41 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:30:21 UTC | TRACE | INFO | (main.go:23 in handleSignal) | received signal 15 (terminated)
